year,title,artist,number,genre
1990,Nothing Compares 2 U ,Sinead O'Connor,12124513,POP
1990,Vision of Love ,Mariah Carey,605850,POP
1990,How Am I Supposed to Live Without You ,Michael Bolton,671135,POP
1990,From A Distance ,Bette Midler,797230,POP
1990,Because I Love You ,Stevie B.,1895804,POP
1990,Vogue (Edit) ,Madonna,927599,POP
1990,Step by Step ,New Kids On The Block,1522950,POP
1990,Lambada (Single Version) ,Kaoma,26881896,POP
1990,Release Me ,Wilson Phillips,628049,POP
1990,Ice Ice Baby ,Vanilla Ice,608545,랩/힙합
1990,The Power ,Snap!,498427,POP
1990,All I Wanna Do Is Make Love To You ,Heart,1754179,록/메탈
1990,The Way You Do The Things You Do ,UB40,629296,POP
1990,Roam ,The B-52's,803793,POP
1990,Rhythm Nation ,Janet Jackson,1020482,POP
1990,Freedom! '90 ,George Michael,731100,POP
1990,This Old Heart Of Mine (1989 Ver. With Ronald Isley) ,Rod Stewart,1203971,록/메탈
1990,Hold On ,Wilson Phillips,628048,POP
1990,Hold On ,En Vogue,268293,R&B/Soul
1990,U Can't Touch This ,MC Hammer,1683312,랩/힙합
1990,Love Takes Time ,Mariah Carey,605730,POP
1990,Downtown Train ,Rod Stewart,1203972,록/메탈
1990,I'm Your Baby Tonight ,Whitney Houston,635471,R&B/Soul
1990,Cradle Of Love ,Billy Idol,634314,록/메탈
1990,Tonight ,New Kids On The Block,1522951,POP
1990,"It Must Have Been Love (From the Film ""Pretty Woman"") ",Roxette,5641530,록/메탈
1990,Close To You ,Maxi Priest,882779,POP
1990,King of Wishful Thinking ,Go West,23312628,일렉트로니카
1990,Escapade ,Janet Jackson,1020494,POP
1990,Children Of The Night ,Richard Marx,1481140,POP
1990,Love And Emotion ,Stevie B.,26215216,POP
1990,If Wishes Came True ,Sweet Sensation,3165695,POP
1990,,Kyper,3008290,POP
1990,Sacrifice ,Elton John,1612071,POP
1990,Dangerous ,Roxette,633670,록/메탈
1990,I'll Be Your Everything ,Tommy Page,395352,POP
1990,"Romeo (12"" Remix) ",Dino,8055188,POP
1990,"Tom's Diner (7"" Version) (Feat. Suzanne Vega) ",D.N.A.,1318302,록/메탈
1990,Praying For Time ,George Michael,731099,POP
1990,Have You Seen Her ,MC Hammer,1683313,랩/힙합
1990,"Blaze Of Glory (From ""Young Guns II"" Soundtrack) ",Jon Bon Jovi,106800635,록/메탈
1990,Do Me! ,Bell Biv DeVoe,884078,R&B/Soul
1990,Can't Stop ,After 7,3162450,R&B/Soul
1990,Can't Stop Fallin' Into Love ,Cheap Trick,1333019,록/메탈
1990,Oh Girl ,Paul Young,1506754,POP
1990,Too Late To Say Goodbye ,Richard Marx,1481133,POP
1990,Black Cat ,Janet Jackson,1020496,POP
1990,Policy Of Truth ,Depeche Mode,445214,록/메탈
1990,Heart Like A Wheel ,Human League,1076716,POP
1991,More Than Words ,Extreme,5578745,POP
1991,(Everything I Do) I Do It For You (2017 Ultimate Edit) ,Bryan Adams,21626255,POP
1991,Wind Of Change ,Scorpions,378296,록/메탈
1991,Gonna Make You Sweat (Everybody Dance Now) ,C & C Music Factory,670268,POP
1991,I've Been Thinking About You ,Londonbeat,262395,POP
1991,Joyride (Single Version) ,Roxette,625709,POP
1991,Unforgettable (Duet with Nat King Cole) ,Nat King Cole,1090275,"재즈, 보컬재즈"
1991,Justify My Love ,Madonna,705174,POP
1991,I Wanna Sex You Up (Single Mix) ,Color Me Badd,802267,POP
1991,When A Man Loves A Woman ,Michael Bolton,1326241,POP
1991,One More Try ,Timmy T.,9680757,일렉트로니카
1991,Love Is a Wonderful Thing ,Michael Bolton,609944,POP
1991,Good Vibrations (Feat. Loleatta Holloway) ,Marky Mark And The Funky Bunch,31965453,랩/힙합
1991,I Don't Wanna Cry ,Mariah Carey,619177,POP
1991,Unbelievable ,EMF,33923641,록/메탈
1991,Losing My Religion ,R.E.M.,727879,록/메탈
1991,Rhythm of My Heart ,Rod Stewart,5168418,록/메탈
1991,I Adore Mi Amor (Interlude Version) ,Color Me Badd,802276,POP
1991,"Rush, Rush ",Paula Abdul,885703,POP
1991,Any Dream Will Do ,Jason Donovan,451568,국외뮤지컬
1991,You're In Love ,Wilson Phillips,628052,POP
1991,Signs ,Tesla,270859,록/메탈
1991,It’s So Hard To Say Goodbye To Yesterday ,Boyz II Men,1658614,R&B/Soul
1991,,Rythm Syndicate,3031772,POP
1991,Summertime ,DJ Jazzy Jeff & The Fresh Prince,267326,랩/힙합
1991,Set the Night to Music (Duet With Maxi Priest) ,Roberta Flack,797393,POP
1991,I Like The Way (The Kissing Game) ,Hi-Five,388650,POP
1991,I'll Be By Your Side ,Stevie B.,1895807,POP
1991,Miracle ,Whitney Houston,635476,R&B/Soul
1991,Someday ,Mariah Carey,619191,POP
1991,Voices That Care ,,3043906,POP
1991,Sadeness ,Enigma,4306424,POP
1991,It Ain't Over 'Til It's Over ,Lenny Kravitz,1117092,록/메탈
1991,All The Man That I Need ,Whitney Houston,601631,POP
1991,Love Will Never Do (Without You) ,Janet Jackson,1020490,POP
1991,I'll Give All My Love To You ,Keith Sweat,807558,R&B/Soul
1991,Where Does My Heart Beat Now ,Celine Dion,668292,POP
1991,"Baby, Baby ",Amy Grant,1838805,"CCM, 국외CCM"
1991,Crazy (7 Mix) ,Seal,809435,POP
1991,It Never Rains (In Southern California) ,Tony! Toni! Tone!,31897794,R&B/Soul
1991,The First Time ,Surface,626306,R&B/Soul
